asset_tag,motor_tag,service_area,location,manufacturer,model,serial_number,install_date,register_revision,record_owner,component,item_description,unit,source_value,asset_status,note
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump casing,equipment item,tag,P-1201A,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1201A,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,motor rating,kW,55,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Drive motor,nameplate speed,rpm,2960,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.0,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump shaft,impeller diameter,mm,205,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,DE bearing,bearing part number,part,6311-C3,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,NDE bearing,bearing part number,part,6309-C3,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-APV-35,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.2,installed,ISO VG 68 mineral oil
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1201A,M-1201A,Feed transfer duty A,North bay,KSB,Etanorm 080-200,SN-18A-421,2022-04-15,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Pump casing,equipment item,tag,P-1201B,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1201B,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Drive motor,motor rating,kW,55,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Drive motor,nameplate speed,rpm,2960,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.0,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Pump shaft,impeller diameter,mm,205,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,DE bearing,bearing part number,part,6311-C3,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,NDE bearing,bearing part number,part,6309-C3,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-APV-35,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.2,installed,ISO VG 68 mineral oil
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1201B,M-1201B,Feed transfer duty B,North bay,KSB,Etanorm 080-200,SN-18B-426,2022-04-15,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Pump casing,equipment item,tag,P-1201C,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1201C,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Drive motor,motor rating,kW,55,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Drive motor,nameplate speed,rpm,2960,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.0,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Pump shaft,impeller diameter,mm,205,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,DE bearing,bearing part number,part,6311-C3,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,NDE bearing,bearing part number,part,6309-C3,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-APV-35,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.2,installed,ISO VG 68 mineral oil
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,5,installed,
P-1201C,M-1201C,Feed transfer standby,North bay,KSB,Etanorm 080-200,SN-18C-433,2022-04-15,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Pump casing,equipment item,tag,P-1202A,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1202A,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Drive motor,motor rating,kW,30,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Drive motor,nameplate speed,rpm,1480,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Coupling,coupling gap setting,mm,2.5,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Pump shaft,impeller diameter,mm,185,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,DE bearing,bearing part number,part,6308-2RS,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,NDE bearing,bearing part number,part,6307-2RS,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-WB-28,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Bearing housing,oil fill volume,L,0.72,installed,ISO VG 68 mineral oil
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1202A,M-1202A,Seal-water booster A,South skid,Sulzer,AHLSTAR A22-80,SZ-22A-705,2023-02-10,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Pump casing,equipment item,tag,P-1202B,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1202B,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Drive motor,motor rating,kW,30,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Drive motor,nameplate speed,rpm,1480,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Coupling,coupling gap setting,mm,2.5,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Pump shaft,impeller diameter,mm,185,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,DE bearing,bearing part number,part,6308-2RS,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,NDE bearing,bearing part number,part,6307-2RS,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-WB-28,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Bearing housing,oil fill volume,L,0.72,installed,ISO VG 68 mineral oil
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1202B,M-1202B,Seal-water booster B,South skid,Sulzer,AHLSTAR A22-80,SZ-22B-709,2023-02-10,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Pump casing,equipment item,tag,P-1210A,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1210A,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Drive motor,motor rating,kW,37,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Drive motor,nameplate speed,rpm,1480,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.2,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Pump shaft,impeller diameter,mm,230,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,DE bearing,bearing part number,part,6310-C3,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,NDE bearing,bearing part number,part,6308-C3,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-CL-32,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.05,installed,ISO VG 68 mineral oil
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1210A,M-1210A,Cooling loop circulation A,West plinth,Grundfos,NK 65-250,GF-21A-311,2021-11-05,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Pump casing,equipment item,tag,P-1210B,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1210B,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Drive motor,motor rating,kW,37,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Drive motor,nameplate speed,rpm,1480,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Coupling,coupling gap setting,mm,3.2,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Pump shaft,impeller diameter,mm,230,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,DE bearing,bearing part number,part,6310-C3,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,NDE bearing,bearing part number,part,6308-C3,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-CL-32,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Bearing housing,oil fill volume,L,1.05,installed,ISO VG 68 mineral oil
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1210B,M-1210B,Cooling loop circulation B,West plinth,Grundfos,NK 65-250,GF-21B-316,2021-11-05,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Pump casing,equipment item,tag,P-1220A,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Drive motor,motor asset tag,tag,M-1220A,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Drive motor,motor rating,kW,18.5,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Drive motor,nameplate speed,rpm,1450,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Coupling,coupling gap setting,mm,2.0,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Pump shaft,impeller diameter,mm,150,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,DE bearing,bearing part number,part,6207-2RS,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,NDE bearing,bearing part number,part,6206-2RS,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Mechanical seal,seal kit part number,part,SEAL-CD-18,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Bearing housing,oil fill volume,L,0.45,installed,ISO VG 68 mineral oil
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Pump baseplate,baseplate shim pack count,nr,4,installed,
P-1220A,M-1220A,Caustic dosing transfer,Chemical room,Lowara,CEA 70/5,LW-20A-552,2021-11-05,R3,Maintenance planning,Discharge flange,flange fastener size,text,M16,installed,
